wh_id,longitude,latitude,cost
160002,-72.0586111111111,-13.584444444444445,19500
160004,-71.93722222222223,-13.530000000000001,22000
160006,-71.82722222222222,-13.569722222222222,18000
160007,-71.97055555555556,-13.520000000000001,23500
160009,-72.30027777777778,-13.45722222222222,18500
160012,-72.20833333333334,-13.414444444444445,18800
160013,-72.44305555555556,-13.479444444444445,24000
160014,-72.5213888888889,-13.481944444444444,19500
160016,-72.25527777777778,-13.455277777777777,18900
160017,-71.95555555555556,-13.321111111111112,20200
160022,-71.78055555555555,-13.488055555555555,19300
160023,-72.05555555555556,-12.810833333333335,21000
160026,-72.065,-13.338055555555556,20030
160027,-72.52583333333334,-13.154166666666667,19800
160028,-72.15555555555557,-13.331666666666667,21000
160030,-72.08333333333333,-13.320833333333333,19200
